Projects,Director,Writers,Cover,Genre,Related,Year,Description,Date,Status
她們創業的那些鳥事 The Arc of Life,導演 馮家瑞、許肇任、林志儒,編劇 呂蒔媛,b.jpg,劇集 Series,"▶️ https://www.youtube.com/watch?v=1CnIPdq5IrU
▶️ https://www.iq.com/album/%E5%A5%B9%E5%80%91%E5%89%B5%E6%A5%AD%E7%9A%84%E9%82%A3%E4%BA%9B%E9%B3%A5%E4%BA%8B-2021-289fg6fgdl1?lang=zh_tw",2021,獲金鐘獎女配角獎,2021年1月31日,Done
竹林傳奇 Once Upon a Time in the Bamboo,導演 Peilin Kuo,編劇 Peilin Kuo,once.png,短片 Short Film,https://www.imdb.com/title/tt12348560/,2020,,2020年2月29日,Done
彩虹的重力 The Gravity of A Rainbow,導演 林清振,編劇 施定柔,cc.png,劇集 Series,"▶️ https://www.youtube.com/watch?v=_nl6awB1HQ8
▶️ https://www.iq.com/play/%E5%BD%A9%E8%99%B9%E7%9A%84%E9%87%8D%E5%8A%9B-%E7%AC%AC1%E9%9B%86-19rttuaqa4?lang=zh_tw",2019,,2019年10月16日,Done
我在未來等你 Waiting For You In The Future,導演 薛凌、張超理,編劇 譚苗、魯昱暉、邢嘉芸,wwww.jpg,劇集 Series,"▶️ https://youtu.be/AAoZh8TPe14?si=k_u-TJusbu2aA69S
▶️ https://www.iq.com/play/%E6%88%91%E5%9C%A8%E6%9C%AA%E4%BE%86%E7%AD%89%E4%BD%A0-%E7%AC%AC1%E9%9B%86-19rsu3sgxg?lang=zh_tw",2019,豆瓣8.3，廣電總局2019年度優秀網絡視聽作品獲獎。,2019年9月9日,Done
熱血高校 Judo High,導演 許肇任,編劇 陳文梓,rere.png,劇集 Series,▶️ https://fb.watch/umHPoOtMLV/,2018,,2018年7月2日,Done
憤怒的菩薩 Bodhisattva in Storm,導演 許肇任,編劇 李中、陳思宇、傅凱羚、吳子維、許肇玲,f.png,劇集 Series,"▶️ https://www.youtube.com/watch?v=vKpkPNunJCM
▶️ https://www.ptsplus.tv/zh/programs/48477d4a-19bd-425a-a944-a31705ca83d7",2018,獲金鐘獎攝影獎、入圍金鐘獎迷你劇集獎、導演獎、燈光獎。,2018年8月18日,Done
上岸的魚 A Fish Out of Water,導演 賴國安,編劇 賴國安,fish.jpeg,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=I4372rSZYWM
▶️ https://www.catchplay.com/tw/video/df3365c8-c5b0-4680-beb0-492db4e030ec
▶️ https://www.myvideo.net.tw/details/0/194681",2018,,2018年3月16日,Done
痴情男子漢 All Because of Love,導演 連奕琦,編劇 劉梓潔 林宇辰 連奕琦,chi.jpg,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=5B7AEEOZpSQ
",2017,金馬獎最佳新演員提名。,2017年8月18日,Done
酸甜之味 Family Time,導演 許肇任,編劇 杜政哲、楊惠文,s.jpg,劇集 Series,"▶️ https://youtu.be/yrQaxsqMXzU?si=0nGVk94GM5uW9MRS
▶️ https://www.youtube.com/playlist?list=PLyHieqImaj4yhNFT1D0xByD_IKbD2ljwA",2017,獲金鐘獎導演獎、編劇獎，入圍金鐘獎戲劇節目獎、新進演員獎。,2017年3月18日,Done
漂洋過海來看你 Across The Ocean to See You,導演 陳銘章,編劇 姚瑤,pp.png,劇集 Series,"▶️ https://youtu.be/16niGkuoXus?si=fGb_hdzFVCOpO-F4
▶️ https://www.kktv.me/titles/03000940
▶️ https://www.myvideo.net.tw/details/3/23656",2017,,2017年4月2日,Done
遇見王瀝川 Remembering Lichuan,導演 陳銘章,編劇 施定柔,Screenshot_2024-09-03_at_20.02.19%201.png,劇集 Series,"▶️ https://youtu.be/xFMotwsGRSY?si=QRd74RZ9YP1yjy7W
▶️ https://youtu.be/_PtmhmMvGG0?si=hQgO8EKh8ooUAMYY
▶️ https://youtu.be/NV74g3OEGag?si=qiHVK-azrqb5vDOC",2016,豆瓣8.9，獲安徽衞視國劇盛典年度電視劇獎項。,2016年7月31日,Done
滾石愛情故事：愛情、愛我別走 In Love,導演 陳銘章,編劇 吳洛纓、毛訓容,rr.png,劇集 Series,"▶️ https://youtu.be/kFNnsZYrSUw?si=F4xsNvQSO8VAz0vz
▶️ https://youtu.be/INIE_z1sUiM?si=m0RvByIZyjwjn0ss",2016,,2016年4月9日,Done
